Transaction Date,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence
2012-08-19,137000,3,4,0,0
2012-08-20,157900,1,2,0,1
2012-08-21,8200,1,2,0,1
2012-08-22,164400,1,2,0,1
2012-08-23,136900,1,2,0,1
2012-08-24,201100,1,2,0,1
2012-08-25,210600,2,4,0,4
2012-08-26,152000,3,4,0,1
2012-08-27,134100,3,4,0,1
2012-08-28,105700,3,4,0,1
2012-08-29,154000,3,4,0,1
2012-08-30,137900,3,4,0,1
2012-08-31,146900,3,4,0,1
2012-09-01,216400,2,4,0,4
2012-09-02,365100,3,4,0,1
2012-09-03,187100,3,4,0,1
2012-09-04,245200,3,4,0,1
2012-09-05,274900,3,4,0,1
2012-09-06,193400,3,4,0,1
2012-09-07,368700,3,4,0,1
2012-09-08,315100,2,4,0,4
2012-09-09,303100,3,4,0,1
2012-09-10,182900,3,4,0,1
2012-09-11,202800,3,4,0,1
2012-09-12,419700,3,4,0,1
2012-09-13,344100,3,4,0,1
2012-09-14,322400,3,4,0,1
2012-09-15,217400,2,4,0,4
2012-09-16,373100,3,4,0,1
2012-09-17,343000,3,4,0,1
2012-09-18,321000,3,4,0,1
2012-09-19,219700,6,1,0,5
2012-09-20,237300,6,1,0,5
2012-09-21,216300,6,1,0,5
2012-09-22,130200,2,4,0,4
2012-09-23,179500,3,4,0,1
2012-09-24,148000,3,4,0,1
2012-09-25,256500,3,4,0,1
2012-09-26,296200,3,4,0,1
2012-09-27,255000,3,4,0,1
2012-09-28,185700,3,4,0,1
2012-09-29,167500,2,4,0,4
2012-09-30,219800,3,4,0,1
2012-10-01,430900,3,4,0,1
2012-10-02,347000,5,3,0,5
2012-10-03,339700,5,3,0,5
2012-10-04,229300,5,3,0,5
2012-10-05,267700,5,3,0,5
2012-10-06,324600,2,4,0,4
2012-10-07,230400,3,4,0,1
2012-10-08,221800,3,4,0,1
2012-10-09,281500,3,4,0,1
2012-10-10,361100,3,4,0,1
2012-10-11,361400,3,4,0,1
2012-10-12,262600,3,4,0,1
2012-10-13,270700,2,4,0,4
2012-10-14,207800,3,4,0,1
2012-10-15,293400,3,4,0,1
2012-10-16,310400,3,4,0,1
2012-10-17,252100,3,4,0,1
2012-10-18,244700,3,4,0,1
2012-10-19,174200,3,4,0,1
2012-10-20,264400,2,4,0,4
2012-10-21,341100,3,4,0,1
